condition,timestep,active_neurons,motor_spikes,locomotion_drive,left_drive,right_drive,turn_bias,endocrine_drive,action
sensory,85,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,86,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,87,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,88,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,89,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,90,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,91,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,92,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,93,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,94,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,95,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,96,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,97,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,98,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,99,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,100,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,101,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,102,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,103,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,104,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,105,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,106,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,107,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,108,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,109,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,110,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,111,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,112,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,113,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,114,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,115,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,116,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,117,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,118,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,119,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,120,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,121,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,122,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,123,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,124,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,125,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,126,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,127,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,128,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,129,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,130,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,131,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,132,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,133,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,134,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,135,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,136,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,137,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,138,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,139,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,140,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,141,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,142,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,143,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,144,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,145,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,146,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,147,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,148,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,149,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,150,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,151,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,152,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,153,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,154,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,155,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,156,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,157,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,158,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,159,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,160,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,161,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,162,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,163,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
