condition,step,x,y,heading,left_sensor,right_sensor,requested_action,action,locomotion_drive,left_drive,right_drive,turn_bias,collision
right,8,18.96538141946887,8.00498004677711,-0.35,0.0,0.6209935522723072,turn_left,turn_left,0.29523809523809524,0.32142857142857145,0.21951219512195122,-0.10191637630662023,False
right,9,19.43506777589256,7.833531143049385,-0.35,0.0,0.43907276861967504,walk_forward,walk_forward,0.2761904761904762,0.2857142857142857,0.2682926829268293,-0.017421602787456414,False
right,10,19.817488869534802,7.511422299430539,-0.7,0.0,0.40681860409979015,turn_right,turn_right,0.42857142857142855,0.39285714285714285,0.5121951219512195,0.11933797909407667,False
right,11,20.287175225958492,7.339973395702813,-0.35,0.0,0.556866864641503,turn_left,turn_left,0.29523809523809524,0.32142857142857145,0.21951219512195122,-0.10191637630662023,False
right,12,20.756861582382182,7.168524491975088,-0.35,0.0,0.3416832238791558,walk_forward,walk_forward,0.2761904761904762,0.2857142857142857,0.2682926829268293,-0.017421602787456414,False
right,13,21.139282676024425,6.846415648356242,-0.7,0.0,0.3071379663287224,turn_right,turn_right,0.42857142857142855,0.39285714285714285,0.5121951219512195,0.11933797909407667,False
right,14,21.608969032448115,6.674966744628517,-0.35,0.0,0.47492501201643156,turn_left,turn_left,0.29523809523809524,0.32142857142857145,0.21951219512195122,-0.10191637630662023,False
right,15,22.078655388871805,6.503517840900791,-0.35,0.0,0.23873612735803174,walk_forward,walk_forward,0.2761904761904762,0.2857142857142857,0.2682926829268293,-0.017421602787456414,False
right,16,22.46107648251405,6.181408997281945,-0.7,0.0,0.2058093412711827,turn_right,turn_right,0.42857142857142855,0.39285714285714285,0.5121951219512195,0.11933797909407667,False
right,17,22.93076283893774,6.00996009355422,-0.35,0.0,0.38589024875395767,turn_left,turn_left,0.29523809523809524,0.32142857142857145,0.21951219512195122,-0.10191637630662023,False
right,18,23.40044919536143,5.8385111898264945,-0.35,0.0,0.14132731688087155,walk_forward,walk_forward,0.2761904761904762,0.2857142857142857,0.2682926829268293,-0.017421602787456414,False
right,19,23.78287028900367,5.516402346207649,-0.7,0.0,0.11277627974303364,turn_right,turn_right,0.42857142857142855,0.39285714285714285,0.5121951219512195,0.11933797909407667,False
right,20,24.25255664542736,5.344953442479923,-0.35,0.0,0.29947077175683035,turn_left,turn_left,0.2857142857142857,0.32142857142857145,0.1951219512195122,-0.12630662020905925,False
right,21,24.72224300185105,5.173504538752198,-0.35,0.0,0.05686691756897066,walk_forward,walk_forward,0.2857142857142857,0.2857142857142857,0.2926829268292683,0.006968641114982577,False
right,22,25.104664095493295,4.851395695133352,-0.7,0.0,0.03392129696307386,turn_right,turn_right,0.42857142857142855,0.39285714285714285,0.5121951219512195,0.11933797909407667,False
right,23,25.574350451916985,4.6799467914056265,-0.35,0.0,0.22195141947799069,turn_left,turn_left,0.2857142857142857,0.32142857142857145,0.1951219512195122,-0.12630662020905925,False
right,24,26.044036808340675,4.508497887677901,-0.35,0.0,0.0,walk_forward,walk_forward,0.2857142857142857,0.2857142857142857,0.2926829268292683,0.006968641114982577,False
