scenario,step,x,y,heading,left_sensor,right_sensor,locomotion_drive,left_drive,right_drive,turn_bias,action,collision,requested_action
light_source,24,16.514981702779036,7.743182459643606,0.0,0.5548265937289463,0.11083793794722482,0.3904761904761905,0.26785714285714285,0.5609756097560976,0.29311846689895477,turn_right,False,turn_right
light_source,25,16.984668059202725,7.914631363371331,0.35,0.5648169000452739,0.0,0.2761904761904762,0.4107142857142857,0.12195121951219512,-0.2887630662020906,turn_left,False,turn_left
light_source,26,17.454354415626415,8.086080267099057,0.35,0.5790678460779248,0.08764710057078626,0.3333333333333333,0.32142857142857145,0.3170731707317073,-0.004355400696864131,walk_forward,False,walk_forward
light_source,27,17.954354415626415,8.086080267099057,0.0,0.5920987349474137,0.0769162359965767,0.3904761904761905,0.26785714285714285,0.5609756097560976,0.29311846689895477,turn_right,False,turn_right
light_source,28,18.424040772050105,8.257529170826782,0.35,0.5855385889535247,0.0,0.2761904761904762,0.4107142857142857,0.12195121951219512,-0.2887630662020906,turn_left,False,turn_left
light_source,29,18.893727128473795,8.428978074554507,0.35,0.6137390399197779,0.04617960125180822,0.3333333333333333,0.32142857142857145,0.3170731707317073,-0.004355400696864131,walk_forward,False,walk_forward
light_source,30,19.393727128473795,8.428978074554507,0.0,0.6254006273138878,0.03140873868671259,0.3904761904761905,0.26785714285714285,0.5609756097560976,0.29311846689895477,turn_right,False,turn_right
light_source,31,19.863413484897485,8.600426978282233,0.35,0.5976329063275868,0.0,0.2761904761904762,0.4107142857142857,0.12195121951219512,-0.2887630662020906,turn_left,False,turn_left
light_source,32,20.333099841321175,8.771875882009958,0.35,0.6427135941739675,0.0,0.3333333333333333,0.32142857142857145,0.3170731707317073,-0.004355400696864131,walk_forward,False,walk_forward
light_source,33,20.833099841321175,8.771875882009958,0.0,0.652027591181179,0.0,0.3904761904761905,0.26785714285714285,0.5609756097560976,0.29311846689895477,turn_right,False,turn_right
