scenario,step,requested_action,action,turn_bias,delta_heading,delta_x,delta_y,delta_distance,collision
right,29,turn_left,turn_left,-0.12630662020905925,0.35,0.46968635642368994,-0.1714489037277258,0.4101739956954038,False
right,30,walk_forward,walk_forward,0.006968641114982577,0.0,0.46968635642368994,-0.1714489037277258,0.4159934688211493,False
right,31,turn_right,turn_right,0.11933797909407667,-0.35,0.3824210936422432,-0.3221088436188455,0.3052297661574084,False
right,32,turn_left,turn_left,-0.12630662020905925,0.35,0.46968635642368994,-0.1714489037277258,0.4284987291485489,False
right,33,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,34,turn_right,turn_right,0.11933797909407667,-0.35,0.3824210936422432,-0.3221088436188455,0.3225077369209046,False
right,35,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,36,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,37,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,38,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,39,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,40,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,41,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,42,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,43,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,44,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,45,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,46,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,47,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,48,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,49,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,50,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,51,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,52,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,53,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,54,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,55,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,56,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,57,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,58,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,59,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,60,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,61,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,62,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,63,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,64,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,65,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,66,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
