scenario,step,sensor_asymmetry,delta_sensor_asymmetry,turn_bias,delta_turn_bias,action_code,action_changed,delta_heading,delta_x,delta_y,delta_distance,collision
left,15,0.2837719971155836,-0.028216477577281907,0.1925087108013937,0.12064459930313584,1.0,True,-0.35,0.5,0.0,0.3211939540586215,False
left,16,0.04448242241574674,-0.23928957469983686,-0.26437282229965153,-0.45688153310104523,-1.0,True,0.35,0.46968635642368994,0.17144890372772537,0.1883410403532686,False
left,17,0.2319381723736369,0.18745574995789016,0.07186411149825786,0.3362369337979094,0.5,True,0.0,0.46968635642368994,0.17144890372772537,0.207224110121901,False
left,18,0.20589666443580848,-0.026041507937828418,0.1925087108013937,0.12064459930313584,1.0,True,-0.35,0.5,0.0,0.36298458826196267,False
left,19,0.0,-0.20589666443580848,-0.26437282229965153,-0.45688153310104523,-1.0,True,0.35,0.46968635642368994,0.17144890372772537,0.23789384584283368,False
left,20,0.16091906911687917,0.16091906911687917,0.07186411149825786,0.3362369337979094,0.5,True,0.0,0.46968635642368994,0.17144890372772537,0.25372481130822244,False
left,21,0.13822590671346358,-0.022693162403415595,0.1925087108013937,0.12064459930313584,1.0,True,-0.35,0.5,0.0,0.3954722642487649,False
left,22,0.0,-0.13822590671346358,-0.26437282229965153,-0.45688153310104523,-1.0,True,0.35,0.46968635642368994,0.17144890372772537,0.27856674256689296,False
left,23,0.1010912125567253,0.1010912125567253,0.07186411149825786,0.3362369337979094,0.5,True,0.0,0.46968635642368994,0.17144890372772537,0.291643207372573,False
left,24,0.08215181150691914,-0.018939401049806168,0.1925087108013937,0.12064459930313584,1.0,True,-0.35,0.5,0.0,0.4203122599287443,False
left,25,0.0,-0.08215181150691914,-0.26437282229965153,-0.45688153310104523,-1.0,True,0.35,0.46968635642368994,0.17144890372772537,0.3115681940609356,False
left,26,0.05271737315033721,0.05271737315033721,0.07186411149825786,0.3362369337979094,0.5,True,0.0,0.46968635642368994,0.17144890372772537,0.32230778629272017,False
left,27,0.037456876051009086,-0.015260497099328127,0.1925087108013937,0.12064459930313584,1.0,True,-0.35,0.5,0.0,0.4391611575853194,False
left,28,0.0,-0.037456876051009086,-0.26437282229965153,-0.45688153310104523,-1.0,True,0.35,0.46968635642368994,0.17144890372772537,0.3382537410649622,False
left,29,0.01500675667652459,0.01500675667652459,0.07186411149825786,0.3362369337979094,0.5,True,0.0,0.46968635642368994,0.17144890372772537,0.3470780689715305,False
left,30,0.003109143419222809,-0.01189761325730178,0.1925087108013937,0.12064459930313584,1.0,True,-0.35,0.5,0.0,0.45344157400254304,False
left,31,0.0,-0.003109143419222809,-0.26437282229965153,-0.45688153310104523,-1.0,True,0.35,0.46968635642368994,0.17144890372772537,0.35987469112987647,False
left,32,0.0,0.0,0.07186411149825786,0.3362369337979094,0.5,True,0.0,0.0,0.0,0.0,True
left,33,0.0,0.0,0.1925087108013937,0.12064459930313584,1.0,True,0.0,0.0,0.0,0.0,True
left,34,0.0,0.0,-0.26437282229965153,-0.45688153310104523,-1.0,True,0.0,0.0,0.0,0.0,True
left,35,0.0,0.0,0.07186411149825786,0.3362369337979094,0.5,True,0.0,0.0,0.0,0.0,True
left,36,0.0,0.0,0.1925087108013937,0.12064459930313584,1.0,True,0.0,0.0,0.0,0.0,True
left,37,0.0,0.0,-0.26437282229965153,-0.45688153310104523,-1.0,True,0.0,0.0,0.0,0.0,True
left,38,0.0,0.0,0.07186411149825786,0.3362369337979094,0.5,True,0.0,0.0,0.0,0.0,True
left,39,0.0,0.0,0.1925087108013937,0.12064459930313584,1.0,True,0.0,0.0,0.0,0.0,True
left,40,0.0,0.0,-0.26437282229965153,-0.45688153310104523,-1.0,True,0.0,0.0,0.0,0.0,True
left,41,0.0,0.0,0.07186411149825786,0.3362369337979094,0.5,True,0.0,0.0,0.0,0.0,True
left,42,0.0,0.0,0.1925087108013937,0.12064459930313584,1.0,True,0.0,0.0,0.0,0.0,True
left,43,0.0,0.0,-0.26437282229965153,-0.45688153310104523,-1.0,True,0.0,0.0,0.0,0.0,True
left,44,0.0,0.0,0.07186411149825786,0.3362369337979094,0.5,True,0.0,0.0,0.0,0.0,True
